"Time (EpSec)","Azimuth (deg)","Elevation (deg)","Range (km)"
50.800,105.27195025,66.05596613,30.983082
51.000,105.15323411,66.05044383,31.229717
51.200,105.03510306,66.04352105,31.477509
51.400,104.91756849,66.03521674,31.726459
51.600,104.80064191,66.02555038,31.976565
51.800,104.68433287,66.01453903,32.227827
52.000,104.56865207,66.00220171,32.480246
52.200,104.45360929,65.98855648,32.733819
52.400,104.33921388,65.97362121,32.988547
52.600,104.22547484,65.95741354,33.244429
52.800,104.11240072,65.93995090,33.501465
53.000,104.00000017,65.92125118,33.759654
53.200,103.88828006,65.90133004,34.018997
53.400,103.77724828,65.88020498,34.279491
53.600,103.66691186,65.85789260,34.541137
53.800,103.55727746,65.83440933,34.803936
54.000,103.44835137,65.80977138,35.067885
54.200,103.34013953,65.78399478,35.332985
54.400,103.23264749,65.75709537,35.599236
54.600,103.12588089,65.72908944,35.866637
54.800,103.01984378,65.69999117,36.135189
55.000,102.91454109,65.66981647,36.404890
55.200,102.80997675,65.63857991,36.675740
55.400,102.70615490,65.60629696,36.947740
55.600,102.60307911,65.57298240,37.220889
55.800,102.50075258,65.53865078,37.495187
56.000,102.39917826,65.50331654,37.770633
56.200,102.29835874,65.46699390,38.047228
56.400,102.19829634,65.42969693,38.324971
56.600,102.09899309,65.39143954,38.603863
56.800,102.00045106,65.35223608,38.883902
57.000,101.90267104,65.31209892,39.165090
57.200,101.80565457,65.27104208,39.447426
57.400,101.70940256,65.22907884,39.730909
57.600,101.61391569,65.18622230,40.015541
57.800,101.51919437,65.14248541,40.301320
58.000,101.42523879,65.09788099,40.588248
58.200,101.33204886,65.05242168,40.876323
58.400,101.23962431,65.00611998,41.165547
58.600,101.14796460,64.95898827,41.455918
58.800,101.05706899,64.91103875,41.747437
59.000,100.96693655,64.86228350,42.040105
59.200,100.87756611,64.81273445,42.333921
59.400,100.78895631,64.76240339,42.628886
59.600,100.70110562,64.71130197,42.924999
59.800,100.61401230,64.65944173,43.222261
60.000,100.52767443,64.60683402,43.520672
60.200,100.44208983,64.55348977,43.820233
60.400,100.35725635,64.49942044,44.120942
60.600,100.27317158,64.44463704,44.422802
60.800,100.18983295,64.38915043,44.725812
61.000,100.10723773,64.33297136,45.029972
61.200,100.02538307,64.27611045,45.335282
61.400,99.94426595,64.21857818,45.641744
61.600,99.86388325,64.16038492,45.949357
61.800,99.78423169,64.10154093,46.258122
62.000,99.70530790,64.04205632,46.568039
62.200,99.62710837,63.98194113,46.879108
62.400,99.54962948,63.92120523,47.191330
62.600,99.47286750,63.85985841,47.504706
62.800,99.39681862,63.79791033,47.819236
63.000,99.32147891,63.73537054,48.134920
63.200,99.24684436,63.67224850,48.451759
63.400,99.17291086,63.60855351,48.769754
63.600,99.09967423,63.54429482,49.088905
63.800,99.02713002,63.47948106,49.409212
64.000,98.95527426,63.41412218,49.730677
64.200,98.88410235,63.34822661,50.053299
64.400,98.81360981,63.28180315,50.377079
64.600,98.74379212,63.21486049,50.702019
64.800,98.67464466,63.14740722,51.028119
65.000,98.60616278,63.07945185,51.355379
65.200,98.53834180,63.01100266,51.683799
65.400,98.47117694,62.94206805,52.013382
65.600,98.40466343,62.87265621,52.344128
65.800,98.33879641,62.80277526,52.676036
66.000,98.27357087,62.73243276,53.009110
66.200,98.20898221,62.66163749,53.343348
66.400,98.14502534,62.59039685,53.678751
66.600,98.08169528,62.51871855,54.015322
66.800,98.01898706,62.44661024,54.353060
67.000,97.95689565,62.37407946,54.691966
67.200,97.89541602,62.30113367,55.032042
67.400,97.83454312,62.22778025,55.373288
67.600,97.77427176,62.15402605,55.715706
67.800,97.71459713,62.07987911,56.059295
68.000,97.65551401,62.00534612,56.404057
68.200,97.59701731,61.93043411,56.749994
68.400,97.53910192,61.85515003,57.097106
68.600,97.48176275,61.77950073,57.445393
68.800,97.42499470,61.70349300,57.794858
69.000,97.36879254,61.62713314,58.145502
69.200,97.31315143,61.55042856,58.497324
69.400,97.25806615,61.47338540,58.850327
