                                                         22 Jun 2020 01:21:05
Place-MidPoint


 Name       Start Time (UTCG)           Stop Time (UTCG)       Duration (sec)
02380    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02381    3 Dec 2019 00:00:00.000    3 Dec 2019 00:09:12.959           552.959
02382    3 Dec 2019 00:00:00.000    3 Dec 2019 00:06:59.850           419.850
02383    3 Dec 2019 00:00:00.000    3 Dec 2019 00:04:46.668           286.668
02384    3 Dec 2019 00:00:00.000    3 Dec 2019 00:02:33.412           153.412
02385    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:20.089            20.089
02422    3 Dec 2019 00:07:59.169    3 Dec 2019 00:10:00.000           120.831
02423    3 Dec 2019 00:05:44.285    3 Dec 2019 00:10:00.000           255.715
02424    3 Dec 2019 00:03:29.404    3 Dec 2019 00:10:00.000           390.596
02425    3 Dec 2019 00:01:14.526    3 Dec 2019 00:10:00.000           525.474
02426    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02427    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02428    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02429    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02430    3 Dec 2019 00:00:00.000    3 Dec 2019 00:09:47.074           587.074
02431    3 Dec 2019 00:00:00.000    3 Dec 2019 00:07:32.706           452.706
02432    3 Dec 2019 00:00:00.000    3 Dec 2019 00:05:18.277           318.277
02433    3 Dec 2019 00:00:00.000    3 Dec 2019 00:03:03.801           183.801
02434    3 Dec 2019 00:00:00.000    3 Dec 2019 00:00:49.274            49.274
02471    3 Dec 2019 00:08:08.885    3 Dec 2019 00:10:00.000           111.115
02472    3 Dec 2019 00:05:53.875    3 Dec 2019 00:10:00.000           246.125
02473    3 Dec 2019 00:03:38.858    3 Dec 2019 00:10:00.000           381.142
02474    3 Dec 2019 00:01:23.834    3 Dec 2019 00:10:00.000           516.166
02475    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02476    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02477    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
02478    3 Dec 2019 00:00:00.000    3 Dec 2019 00:10:00.000           600.000
